Municipality_code;Oral_Health_Strategy_coverage;Primary_health_coverage_for_poor_residents_.last.year.;Vaccination_coverage_...;Low_birth_weight_...;Hospital_beds_per_10.000_residents;Family_Health_Strategy_teams_per_10.000_residents;Ultrasound_machines._per_10.000_live_births;cesarean_deliveries;Xray_machines_per_10.000_residents;Life_support_equipment_per_10.000_residents;Mammographies_per_100_women
2509404;100;100;77.12;6;0;4.8;66.7;50.67;0;0;4
2509503;100;100;67.92;6.17;0;4;0;41.98;0;0;6
2509602;100;100;67.37;8.64;0;4.4;0;43.21;0;0;1
2509701;99.84;86.82;75.01;6.95;13.3;2.9;67.3;59.87;0.6;2.9;17
2509800;100;100;75.19;6.92;12.7;4.2;0;48.46;1.1;0;1
2509909;98.62;100;86.96;3.88;18;3.8;0;38.83;0;0;1
2510006;100;100;66.09;8.79;0;4.1;0;68.13;0;0;2
2510105;66.4;100;74.81;4.46;26.6;3.8;0;38.22;0;0.9;4
2510204;100;100;85.73;6.25;36.2;4.9;0;39.84;0;0;1
2510303;100;100;60.72;4.65;0;4.6;0;41.86;0;0;6
2510402;90.29;100;80.35;3.2;30.3;4.3;0;34.4;0;0;0
2510501;95.25;82.83;90.78;2.63;0;2.8;526.3;42.11;0;0;8
2510600;100;97.47;80.04;10.64;0;3.4;0;72.34;0;0;12
2510659;100;100;66.85;11.11;0;8;0;37.04;0;0;16
2510709;100;100;79.31;9.09;0;4.5;0;36.36;0;0;0
2510808;100;100;76.67;7.37;22;3.5;46.1;51.68;0.6;1.6;3
2510907;100;100;76.35;4.49;14.4;4.2;64.1;68.59;1.7;0.8;1
2511004;89.36;77.7;80.98;8.57;2.7;2.7;142.9;50;0;0;0
2511103;100;100;70.46;3.45;37.5;4;0;33.62;1.3;1.3;1
2511202;100;100;81.3;6.76;15.9;4.1;23.3;48.48;0.7;1.8;5
2511301;100;100;91.96;4.83;72.4;3.9;193.2;51.21;3.2;7.8;1
2511400;100;77.48;91.09;4.55;54.9;3.8;69.9;50.35;2.2;3.8;27
2511509;100;100;70.81;10.39;15.2;4.5;129.9;44.81;1.8;1.8;23
2511608;100;100;77.21;5.8;0;4.3;0;42.03;0;0;2
2511707;100;100;76.48;10.53;0;3.9;0;49.47;0;0;1
2511806;100;100;73.41;5.84;16.5;3.9;0;42.21;0;3.9;2
2511905;100;100;84.24;8.52;0;3.5;0;40.66;0;0;4
2512002;100;100;71.94;9.56;33.5;4.1;34.1;33.79;0;1.8;4
2512036;100;100;85.05;1.3;0;5.3;0;59.74;0;0;0
2512077;100;100;80.84;10.42;0;5;0;66.67;5;0;0
2512101;100;100;65.95;4.48;27.1;3.4;99.5;69.15;1.2;1.2;2
2512200;100;100;79.16;3.33;0;5.2;0;71.67;0;0;17
2512309;100;100;114.95;6.25;26.3;3.8;59.5;64.88;2.3;2.3;2
2512408;100;100;75.01;4.52;17.8;4.6;0;31.66;0;0;5
2512507;100;100;73.65;8.18;0;3.9;15.2;46.82;0.2;0;5
2512606;100;100;76.73;0;94.2;5.9;0;45.45;0;0;5
2512705;100;100;68.23;6.74;48.3;4;0;36.17;0.6;1.7;3
2512721;100;100;65.05;4.65;0;3.5;0;39.53;0;0;1
2512747;96.8;84.18;120.55;6.06;0;3.1;0;51.52;0;0;0
2512754;100;100;70.22;10;0;4.7;0;40;0;0;5
2512762;100;100;69.83;5.56;0;4.8;0;38.89;0;0;3
2512788;100;100;77.6;4.65;0;5.8;232.6;51.16;5.8;0;1
2512804;100;100;64.36;9.4;9.6;3.6;0;85.23;0;0;0
2512903;100;100;75.93;6.18;26.1;3.9;29.4;40.29;0.9;2.2;3
2513000;98.07;85.28;66.56;10.64;0;2.9;0;46.81;0;0;2
2513109;100;100;56.31;9.52;0;4.2;0;36.9;0;0;5
2513158;100;100;82.14;2.11;0;4.5;0;46.32;0;0;6
2513208;100;100;63.34;10.71;27.8;4.6;119;72.62;1.5;0;1
2513307;100;100;67.92;4.17;37.3;5.6;0;68.06;0;0;0
2513356;0;78.25;73.89;9.09;0;2.8;0;63.64;0;0;0
2513406;100;100;66.74;6.31;34.6;4.1;97.1;42.23;0.7;1.4;2
2513505;100;100;125.42;4.44;16.9;3.8;0;54.44;0;0;0
2513604;88.27;76.76;78.41;1.05;0;4.1;0;69.47;0;0;0
2513653;100;100;80.52;5.26;0;3.8;263.2;57.89;0;0;0
2513703;100;94.66;83.8;7.48;12.7;3.2;13.8;47.57;0.7;1.5;7
2513802;100;100;72.13;6.85;17.5;4.4;0;38.36;0;0;0
2513851;100;100;81.98;2.78;7.6;3.8;0;38.89;0;0;13
2513901;100;100;79.15;7.04;9.4;3.9;21.3;68.23;0.6;0.6;0
2513927;100;100;68.63;2;0;4.8;0;56;2.4;4.8;1
2513943;100;100;58.67;2.13;0;0;0;70.21;0;0;1
2513968;100;100;56.04;0;0;3.5;243.9;53.66;0;0;3
2513984;97.35;84.65;95.32;9.3;0;3;0;81.4;0;0;2
2514008;100;100;74.66;5.8;27.6;4.6;0;36.23;0;0;4
2514107;100;100;74.52;7.81;0;4.5;0;53.13;2.3;0;6
2514206;100;100;76.87;4.65;4;4;0;70.93;0;0;1
2514305;100;97.7;82.47;5.38;25;3.3;0;53.76;1.7;0;0
2514404;100;100;73.33;4.84;0;4.2;0;51.61;0;0;0
2514453;100;100;86.62;4.88;0;3.6;122;56.1;0;0;7
2514503;100;92;56.81;10.38;12;3.1;0;62.31;0;1.6;0
2514552;100;100;108.36;6.78;0;4.7;0;74.58;2.4;0;0
2514602;100;90.53;66.9;2.04;0;3.1;0;26.53;0;0;0
2514651;100;100;83.72;7.41;0;5.9;0;85.19;0;0;0
2514701;100;100;71.94;7.5;0;5;0;50;0;0;1
2514800;84.58;100;65.13;5.36;0;5;0;64.29;0;0;6
2514909;86.27;100;65.7;3.3;33.6;3.9;109.9;43.96;1.3;7.7;2
2515005;100;100;72.46;6.03;0;4.5;86.2;34.48;0;0;2
2515104;100;100;70.99;5.3;0;4.5;66.2;37.75;0.9;0;2
2515203;100;94.64;63.09;14.29;0;3.1;0;53.06;0;0;15
2515302;94.06;100;56.67;5.59;11.6;3.8;13;48.63;0.2;1;3
2515401;100;100;75.02;5.52;35.2;2.9;55.2;18.78;0;0;3
2515500;100;100;88.04;6.1;85.6;3.9;122;48.17;2.3;7.7;7
2515609;100;93.81;86.17;8.89;0;3.1;0;46.67;0;0;2
2515708;100;95.33;85;5.77;40.3;3.4;0;76.92;0;0;0
2515807;100;100;95.61;3.45;4.3;4.3;0;37.93;0;0;3
2515906;100;100;84.2;7.32;25.6;4.8;122;37.8;1.6;3.2;0
2515930;100;100;86.48;11.39;0;4.6;0;56.96;2.3;0;1
2515971;100;100;76.45;3.17;0;4.1;0;50.79;0;0;4
2516003;61.72;100;85.07;6.88;12;3.7;24.6;40.54;0.4;0.7;1
2516102;100;100;82.89;8.56;15.3;3.6;45;39.19;2.2;0;4
2516151;100;97.12;92;6.67;0;3.2;0;40;0;0;10
2516201;100;100;65.64;7.01;23.1;4;53.1;77.49;1.5;3.3;9
2516300;100;100;84.82;8.2;19.9;3.1;82;54.92;0.6;4.4;8
2516409;100;100;79.14;5.83;0;3.9;0;39.17;0;0;3
2516508;100;100;79.24;7.41;22.1;4;0;38.43;1.3;1.3;2
2516607;71.44;41.42;101.49;9.77;12.8;4.3;0;60.94;0;0.7;0
2516706;100;100;67.19;6.48;50.2;3.5;0;42.51;0;3.5;0
2516755;100;100;73.95;4.76;0;3.6;0;28.57;0;0;2
2516805;100;100;74.17;8.62;0;4.3;0;61.21;0;0;1
2516904;100;100;67.47;4.92;21.9;4.1;163.9;44.81;0.7;0;0
2517001;100;100;77.59;6.78;24.7;4.3;84.7;41.53;0;1.1;3
2517100;100;100;71.8;4.17;39.9;4;416.7;33.33;0;0;4
2517209;100;100;64.33;9.09;0;4;181.8;69.09;2;0;2
2517407;100;100;87.49;5.13;0;4.8;0;69.23;0;0;24
2600054;50.17;81.03;73.19;7.85;6.9;2.6;37;53.59;0.4;1.4;10
2600104;48.55;67.55;83.4;8.89;39.6;2.3;69.7;65.68;0.9;4.6;13
2600203;59.33;51.59;76.97;5.13;19.9;2.3;0;40.71;0.6;1.1;2
2600302;100;100;82.55;6.87;31.7;4;103.1;38.14;0.9;7.1;4
2600401;100;100;55.48;6.84;7.9;3.6;21.4;50.43;0;1.2;3
2600500;0;30.25;63.88;5.8;12.7;1;12.3;20.59;0;1.7;2
2600609;46.27;100;74.6;6.3;9.4;3.6;0;40.76;0;2.2;8
2600708;88.12;85.14;86.49;6.57;6.9;2.7;0;43.6;0.3;0;5
2600807;100;100;76.8;7.84;8.1;3.1;39.2;45.49;0;1.3;17
2600906;84.11;100;69.43;7.38;8.7;2.7;33.6;55.03;0.5;1.4;5
2601003;100;100;87.47;13.38;7.8;3.9;70.4;42.96;2.9;6.9;3
2601052;59.2;100;88.17;8.39;7.2;3.3;32.3;50.32;0;0.6;4
2601102;25.91;52.58;70.31;8.51;21;1.6;17.7;34.75;0.5;1.6;3
2601201;86.25;75;80.93;8.9;32.9;2.5;74.1;48.19;1.2;2.8;11
2601300;75.97;88.09;109.34;7.33;8.6;1.6;52.4;50.79;0;0;2
2601409;47.14;54.66;70.09;7.61;51.3;2;28.2;32.82;0.5;1.7;2
2601508;100;100;70.86;6.29;13.2;3.5;69.9;47.55;0;8.8;1
2601607;32.33;56.23;72.51;8.02;21.7;2;25.1;35.84;0.5;2.5;1
2601706;27.96;44.58;68.89;7.06;9.9;1.5;17;49.7;0.4;0.7;2
2601805;100;100;71.42;6.6;8.3;3.3;47.2;33.96;1.7;1.7;4
2601904;53.21;61.69;78;8.45;26.4;2.4;51.2;56.98;0.7;2.2;16
2602001;49.3;85.74;71.62;8.32;8.2;2.8;32.6;34.91;0.6;1.4;5
2602100;45.75;53.04;78.46;8.18;9.9;1.8;13.4;31.9;0.4;1.5;3
2602209;42.15;87.97;77.11;5.9;8.7;2.9;0;62.79;0.3;0;10
2602308;76.04;66.12;70.75;3.21;13.8;2.4;16;37.5;0.5;0.8;11
2602407;100;100;74.06;10.4;9;4.5;57.8;31.79;0;2.3;0
2602506;100;100;72.64;7.77;9.6;4.1;97.1;56.31;0;1.4;3
2602605;81.66;71.01;73.52;7.82;9.3;2.2;27.9;48.6;0.9;0;1
2602704;75.69;100;64.1;4.23;11.2;3.2;0;57.28;0;0.8;8
2602803;32.38;56.31;69.56;6.85;12.3;1.7;9.4;25.82;0.2;0.8;2
2602902;44.24;64.69;72.23;8.19;13.9;2;48.2;57.34;0.5;2.1;12
2603009;100;88.72;74.42;8.66;17.2;2.9;18.1;47.47;0.3;1.6;2
2603108;100;100;75.56;5.37;8.5;3.7;33.6;41.61;2.1;0;3
2603207;100;100;87.69;7.38;10.5;3.4;20.5;23.36;0.8;2.6;4
2603306;100;100;79.07;5.23;11.7;3.6;0;38.56;0;4.5;3
2603405;43.25;75.22;84.55;7.29;17.7;3.5;104.2;38.54;0;0;5
2603454;19.27;85.89;75.39;8.35;50.5;2.9;23.3;52.96;0.3;1.2;12
2603504;100;90.5;72.27;5.28;8.2;2.9;40.7;46.75;0.6;0.6;5
2603603;84;36.52;83.8;4.5;24.5;3.7;90.1;51.35;0;0;4
2603702;100;96.59;81.25;6.46;9;3.3;56.2;33.15;0.4;1.6;2
2603801;100;100;89.25;6.78;14.3;3.6;0;38.35;0;1.5;3
2603900;36.02;100;81.33;6.45;8.1;4.3;32.3;54.52;0.5;2.2;10
2603926;55.42;24.09;70.12;5.52;7.6;2.5;30.7;28.22;1.7;4.2;2
2604007;35.48;61.7;71.2;8.25;14.4;1.9;38.4;58.83;0.4;2;12
2604106;23.09;28.1;72.91;8.07;16.6;0.9;37;57.95;0.6;2.5;5
2604155;100;100;81.53;6.44;20.3;4.4;0;46.53;0.7;0;13
2604205;68.51;85.1;72.13;7.16;6.6;2.6;17.5;48.34;0.3;1.1;1
2604304;95.98;100;72.73;7.77;16.7;3.7;48.5;39.32;0;5.6;0
2604403;100;100;79.47;6.35;15.3;4;52.9;57.67;0;0;12
2604502;100;100;82.74;5.56;18.9;3.5;37;54.07;1;1.5;3
2604601;100;98.35;72.44;7.37;8.6;3.3;35.1;42.46;0.4;0.4;5
2604700;100;89.9;75.36;6.84;6.3;2.9;42.7;36.32;0.6;2.9;2
2604809;100;100;96.46;6.91;22.5;4;106.4;47.87;0.8;3.2;2
2604908;0;100;66.27;6.13;18;3.5;47.2;52.83;0;0;6
2605004;100;100;69.42;5.85;8.6;3.8;29.2;48.83;0.4;1.3;4
2605103;100;88.56;80.48;7.05;24.5;3;17.6;41.09;0.3;0.9;3
2605152;62.87;54.67;77.58;7.04;11.2;2.4;29.3;39.59;1.2;1.8;2
2605202;44.09;43.13;69.53;6.6;21.4;1.3;20;55.8;0.3;0.9;6
2605301;55.49;100;81.17;6.39;10.1;3.2;49.2;40;0.9;4.4;5
2605400;51.62;100;67.7;4.85;8.3;3.4;0;63.94;0.5;1.5;12
2605459;0;0;71.75;8.7;22.8;3.8;434.8;78.26;7.6;26.6;0
2605509;100;100;81.17;7.18;0;3.5;0;51.93;0;0;9
2605608;44.93;91.17;81.13;5.57;8.1;3.2;32.8;48.85;0.5;0;6
2605707;49.11;42.7;73.12;6.07;41.7;1.7;16.9;36.26;0.7;1;5
2605806;46.45;100;74.21;10.18;7.7;2.8;0;49.7;0;0;8
2605905;62;86.26;87.15;6.71;8.2;2.9;31.9;41.21;0.4;1.1;5
2606002;55.17;73.11;83.44;7.97;29.3;2.3;29;54.85;0.6;2;4
2606101;85.37;84.84;81.56;8.25;8.3;2.8;24.3;58.98;0.3;0;9
2606200;78.81;72.56;85.42;7.87;10.8;2.1;17.5;44.09;0.4;1.7;2
2606309;100;100;74.79;10.58;29.2;4.4;0;35.58;0;0;1
2606408;64.2;83.74;72.12;6.69;7.5;2.6;27.1;61.84;0.3;1.3;10
2606507;100;100;74.07;9.72;8.2;3.8;31.3;29.47;1.1;3.8;1
2606606;100;100;80.82;8.37;14.8;4.5;19.9;31.47;1.1;0.7;7
2606705;88.09;76.6;85.3;5.88;9.3;2.7;0;36.27;0;1.3;0
2606804;68.87;80.85;69.64;7.98;15.5;2.5;7.3;51.85;0.4;1.4;8
2606903;27.83;48.4;65.89;7.39;13.6;2.5;56.8;54.55;0;0.8;11
2607000;100;100;65.46;7.53;6.8;3.1;0;31.33;0;1;1
2607109;100;100;75.04;1.43;8.9;4.4;142.9;61.43;2.2;2.2;16
2607208;45.69;75.48;74.71;8.99;3.5;1.5;13.6;53.75;0.6;2;0
2607307;50.45;100;74.93;9.32;17.1;3.9;16.1;32.48;0.4;0;6
2607406;79.16;68.84;85.51;8.99;9.2;2.3;112.4;34.83;0;0;12
2607505;99.89;86.86;99.52;7.42;6.9;3;22.5;27.42;0;1.1;0
2607604;55.47;100;68.88;7.34;166.3;2.7;0;42.86;0.9;2.3;14
2607653;100;100;74.37;5.57;11.9;3.4;16.9;38.01;0.6;0.8;4
2607703;100;100;75.65;4.52;18;4.3;45.2;51.13;0.7;1.4;18
2607752;100;98.34;97.97;7.89;3.4;3.4;0;47.63;0.4;4.2;8
2607802;66.74;100;70.28;8.03;3.8;3.8;0;46.72;0.6;0;4
2607901;28.08;44.05;65.69;8.27;6.5;1.2;27.2;55.14;1.2;0.8;14
2607950;100;100;68.01;9.21;0;4.3;0;50;0;9.6;1
2608008;89.81;97.62;77.73;5.63;15.8;3.8;35.2;34.51;0.6;1.3;1
2608057;71.62;62.28;78.79;7.08;16.5;2.1;44.2;26.11;1.4;3.6;8
2608107;69.29;100;78.36;5.84;8.8;3.6;26.5;66.05;0.3;1;4
2608206;100;90.92;70.39;7.69;8.9;3.2;48.1;54.33;0.6;1.3;2
2608255;100;100;105.27;7.1;0;3.8;0;53.01;0;0;5
2608305;100;100;79.5;6.62;13.9;4.4;34.8;30.66;0.7;1.5;3
2608404;66.55;77.16;82.23;5.38;22.7;2.8;44.8;31.84;0;0.7;3
2608453;100;100;76.94;5.24;8.1;3.7;0;57.21;0;3.7;6
2608503;100;100;72.63;5.65;9.2;4.4;26.9;60.48;0;0.5;7
2608602;100;100;75;6.39;14.8;4.1;45.7;35.16;3.3;4.9;10
2608701;44.32;77.09;87.43;3.43;10.9;2.6;49;41.18;0;1.3;1
2608750;30.79;66.94;81.75;9.41;7.9;2.6;23.5;28.24;0.4;0.4;3
2608800;59.47;60.33;72.83;8.37;6.6;1.9;14.7;41.12;0;0.8;5
2608909;96.43;94.33;83.38;7.11;26.2;3.2;77.5;68.48;0.5;2.2;8
2609006;57.43;87.39;84.13;6.2;43.5;2.9;0;41.69;0.4;1.3;6
2609105;87.7;76.26;72.29;8.33;6.6;2.9;0;49.54;0;2.2;7
2609154;76.26;66.31;79.13;5.51;8.8;2.2;0;22.87;0;1.1;1
2609204;56.08;73.15;86.08;5.98;10.6;2.5;0;44.57;0;4.1;1
2609303;99.93;86.89;85.03;7.92;23.8;2.8;0;41.91;0.7;1.4;0
2609402;24.79;64.68;85.04;7.05;21.7;2.1;55.3;56.85;1.1;2.6;31
2609501;34.29;89.45;73.07;7.71;24.7;2.9;22.7;54.2;0.3;2.3;6
2609600;23.45;41.53;74.51;8.97;7.3;1.5;11.6;56;0.2;1;10
2609709;100;100;71.59;4.76;12.7;4.4;0;51.36;0.9;0.9;6
2609808;24.16;63.03;80.08;5.35;8.3;1.5;0;24.28;0;0;1
2609907;56.66;76.14;87.36;7.54;23.6;2.6;28.6;45.23;0.5;2.2;2
2610004;99.71;86.71;95.95;7.46;54.4;3;192.1;63.16;1.8;5;4
2610103;100;100;83.7;7.41;4.9;4.9;0;37.04;0;7.3;2
2610202;40.59;35.29;69.28;7.19;10.1;1.6;0;30.22;0;0.8;6
2610301;83.19;96.46;89.18;8.37;7.3;3.6;0;46.8;0;0;3
2610400;100;100;82.73;5.53;14.3;3.5;0;39.95;0.5;1.5;9
2610509;36.29;94.68;77.83;4.85;8.7;3.1;20.2;70.1;0.3;0;7
2610608;87.12;100;73.01;6;9.3;3.3;35.3;51.65;0.4;1.2;9
2610707;18.36;43.21;73.73;8.35;15;1.3;24.9;57.38;0.4;0.7;8
2610806;100;100;85.62;5.93;11;4.3;0;29.9;1;3.3;9
2610905;48.17;46.54;85.56;7.2;29.2;1.6;35.6;42.93;0.8;1.9;16
2611002;52.97;73.69;72.04;7.11;29.2;1.8;15.5;34.93;0.9;1.8;11
2611101;36.34;58.98;76.49;8.5;9.4;1.6;31.8;39.39;0.4;1.7;9
2611200;89.98;78.24;86.74;5.26;12.5;2.7;0;42.11;0;0;1
2611309;100;100;77.58;7.87;8.7;3.3;28.1;69.66;0.4;0.4;8
2611408;83.71;97.06;85.6;7.78;3;3;0;48.33;0;1.5;5
2611507;100;93.74;78.76;5.73;17.4;3.3;28.7;46.42;0;0.8;0
2611533;48.48;84.32;85.72;5.62;0;3;0;62.92;0;0;42
2611606;24.96;51.1;69.72;8.96;39;1.5;35.8;58.44;0.8;2.3;9
2611705;72.9;95.09;76.5;7.78;14.1;3.1;37;58.15;1;2.1;23
2611804;96.52;83.93;79.21;7.56;10.8;2.5;68.7;50.17;0.5;1.1;6
2611903;100;100;60.29;8.43;29.3;4.1;48.2;32.29;0.9;2.7;2
2612000;97.22;100;76.42;4.38;17.8;5.3;73;61.31;0.9;1.8;2
2612109;84;73.05;66.57;4.17;5.4;3.2;0;70.83;0;0;4
2612208;74.68;70.35;71.75;8.83;39.7;2.3;46.9;41.41;1.1;3;0
2612307;100;100;83.94;6.48;8.5;3.9;0;34.41;0.7;1.3;2
2612406;36.85;80.12;80.57;4.82;6.8;2.3;64.3;37.62;0;0.5;3
2612455;93.36;100;83.16;7.14;10.3;3.7;23.8;49.05;0.7;0.7;8
2612471;84.77;98.29;74.2;5.47;12.7;4.2;39.1;35.55;1.7;0.8;7
2612505;21.47;37.35;86.55;8.1;9.4;1.1;9.5;55.52;0.2;1.4;12
2612554;93.92;100;84.02;4.8;0;3;36.9;31.73;0;0;11
2612604;41.32;35.93;76.98;8;8.4;1.5;12.5;28;0.3;1;1
2612703;53.31;92.72;95.38;6.44;0;3.1;0;50.5;0;0;11
2612802;67.75;100;75.09;12.82;9.1;2.7;64.1;47.44;0;0.9;8
2612901;63.66;83.04;62.09;4.72;20.1;2.2;0;44.09;0;0.7;1
2613008;27.95;54.69;66.36;6.57;8.6;1.7;24.8;43.87;0.2;2.8;12
2613107;75.96;66.05;81.62;8.08;11.6;2.3;17.2;45.36;0;0.9;22
2613206;100;100;82.48;7.23;18.3;3.8;30.1;43.07;0.5;0.5;3
2613305;100;100;87.24;6.7;22.5;3.9;83.8;43.02;1.5;2.9;7
2613404;100;97.01;81.63;7.49;12.1;3.3;32.6;29.32;0.6;4.4;4
2613503;50.56;43.97;96.42;5.87;19.6;1.5;19.6;44.42;0.9;2.5;3
2613602;86.81;100;75.5;6.43;20.4;3.5;102.8;55.27;0.9;2.8;10
2613701;20.71;66.04;82.54;7.38;8.9;2.1;6.8;45.93;0.2;1.4;4
2613800;39.81;100;80.83;9.44;17.1;3.5;0;34.97;1.2;1.8;3
2613909;34.37;48.57;93.32;7.39;56.5;1.4;14.9;44.18;1;3.9;7
2614006;100;100;89.48;6.33;16.9;4.4;30.1;40.06;1.1;2.7;0
2614105;57.64;58.47;77.02;7.65;22.5;2.4;20.1;45.27;0.9;1.8;6
2614204;44.68;69.93;79.02;6.35;24.3;2.2;29.5;31.61;0.2;3.7;3
2614303;65.19;100;84.02;6;18;3.6;66.7;39.33;1.8;0.9;3
2614402;100;100;75.92;5.77;8.7;5.2;96.2;63.46;3.5;5.2;12
2614501;91.12;100;74.82;5.79;44.6;3.2;22.3;65.37;0.9;1.4;12
2614600;50.7;77.15;71.81;5.93;13.2;2.6;25.8;64.18;0.8;1.9;13
2614709;100;100;64.13;6.15;0;3.9;51.3;47.69;0;0;2
2614808;15.52;53.98;70.89;7.39;7.7;1.8;0;27.27;0.5;0.5;8
2614857;100;100;76.62;5.88;8.2;3.9;26.7;36.36;0;1.4;3
2615003;76.14;79.45;69.46;4.13;22.5;2.4;0;49.1;0.8;2.4;8
2615102;100;100;75.01;6.36;20.8;4.5;90.9;32.73;0;1.5;4
2615201;70.4;91.83;87.85;7.33;11.9;3.2;0;39.33;0;0;0
2615300;93.3;100;65.19;5.9;26.4;3.3;12;45.06;0.4;0.7;3
2615409;0;45.17;70.2;9.12;7.9;1.4;16;60.96;0.3;0;2
2615508;100;100;82.47;6.93;8.4;3.8;0;58.87;0;0;4
2615607;100;100;77.84;5.76;22.2;2.7;15.6;42.83;0;3.4;4
2615706;65.63;57.07;83.43;6.13;25.3;2.7;47.2;39.15;0;3.3;8
2615805;90.67;78.84;68.34;6.77;8.6;2;26;29.69;0.4;4.1;2
2615904;100;100;69.25;3.97;49.2;3.8;79.4;63.49;1.3;1.3;6
2616001;100;100;78.35;6.34;15;3.7;0;42.96;1.2;5;7
2616100;100;100;83.19;8.07;18.6;4.4;0;32.92;0;4.4;0
2616183;100;100;70.91;2.26;11.4;5.1;75.2;69.17;0;2.5;13
2616209;56.91;82.48;72.52;7.1;18.1;2.2;64.5;50.32;1.1;4.4;15
2616308;74.24;96.83;74.64;5.07;20.8;2.9;24.2;41.06;0.3;1;5
2616407;51.86;64.08;84.6;6.39;35.3;2;25.2;71.18;0.7;2;18
2616506;100;100;67.57;8.79;9.2;5;36.6;52.01;0;0;4
2700102;17.26;90.05;77.31;8.5;16.5;2.6;25;30.25;0.5;0;9
2700201;77.79;100;75.7;10.64;14.3;4;35.5;47.87;1.1;0;6
2700300;52.44;74.1;70.34;7.84;32.9;2;47.4;56.55;1;1.9;18
2700409;97.6;84.87;75.87;7.1;18.3;3.4;12.7;45.12;0;0.2;4
2700508;100;100;73.83;7.94;0;4.2;72.2;54.15;0.7;1.4;3
2700607;91.13;79.24;83.28;9.93;0;4;70.9;66.67;0;0;13
2700706;100;100;73.83;4.67;24.6;4.1;62.3;31.78;0;0;11
2700805;100;100;80.89;6.58;0;4.4;0;51.32;0;0;10
2700904;91.88;100;76.22;9.57;0;4.3;106.4;36.17;0;0;4
2701001;79.52;100;72.92;7.51;10.9;4.3;42.9;45.49;0.4;1.2;11
2701100;100;100;66.2;9;0;4.7;50;37;0;0;5
2701209;100;100;79.76;7.04;2.9;3.9;0;45.73;0;0;7
2701308;100;100;85.4;7.63;16.2;3.9;50.9;41.98;0;1;5
2701357;100;97.12;90.82;4;0;3;0;50.4;0;0;20
2701407;7.31;38.13;63.13;10.57;7.9;1.2;16.8;59.9;0.2;0;7
2701506;100;100;74.79;4.04;0;4.4;50.5;45.45;1.1;0;5
2701605;37.51;81.54;80.12;6.53;0;2.9;0;22.73;0;0;6
2701704;79.47;100;72.89;7.89;21.7;4.7;65.8;42.76;0.6;2.9;6
2701803;81.53;70.9;81;6.38;0;2.4;0;40.43;0;0;5
2701902;100;84.83;100.6;5.98;11.2;2.8;85.5;41.03;0;1.4;3
2702009;62.01;100;71.59;9.09;0;3.7;0;48.48;0;0;8
2702108;34.19;100;72.02;9.43;17.5;3.5;31.4;41.19;1;7;2
2702207;62.44;100;84.87;6.52;0;3.6;108.7;55.43;0;0;9
2702306;96.97;78.7;83.21;7.41;40.9;2.9;22.4;42.76;0.2;1.3;5
2702355;100;90.15;71.61;7.62;3.5;3.1;0;39.49;0;0;5
2702405;49.83;55.71;74.45;5.6;9.1;1.7;11.2;49.61;0.4;0.8;17
2702504;30.8;100;80.22;6.88;0;3.7;0;44.38;0;0;8
2702553;40;100;62.59;9.69;0;4.1;0;54.65;0.6;0;5
2702603;31.62;96.22;79.59;7.88;4.7;3.3;24.6;47.29;0;0;10
2702702;75.53;100;77.24;5.56;0;4.6;92.6;60.19;0;0;14
2702801;100;97.64;79.3;8.44;13;4.1;42.2;53.16;1.6;0;4
2702900;37.39;81.29;66.65;9.01;13.1;3.6;17.7;43.11;0;0;4
2703007;100;100;93.6;3.32;0;4;0;36.88;0;0;4
2703106;100;100;73.57;10.85;5.6;4.4;0;49.06;0;0;5
2703205;100;100;78.15;6.33;0;3.9;21.8;40.39;0.4;1.7;7
2703304;56.97;82.57;84.56;6.51;0;2.8;0;23.18;0;0;5
2703403;100;100;68.34;8.11;0;5.5;90.1;25.23;0;0;10
2703502;97.94;85.17;81.51;6.86;0;4.3;0;33.33;0;0;6
2703601;88.88;77.29;76.1;8.93;0;3.9;0;39.29;0;0;3
2703700;100;100;75.04;12.61;0;5.4;0;37.82;0;0;6
2703759;100;100;75.92;7.26;1.7;4.2;111.7;44.69;0;0;13
2703809;100;100;74.74;6.53;18.2;3.5;21.1;44;0.4;0;7
2703908;100;100;85.45;6.25;0;4.8;0;52.08;0;0;2
2704005;100;100;84.39;5.77;14.7;4.2;52.5;48.03;1.3;0.8;6
2704104;100;98.92;67.03;4.83;0;3.3;30.2;52.27;1.1;0;5
2704203;39.18;68.14;76.13;5.45;5.6;2.6;30.3;40.61;0;0.7;5
2704302;12.16;34.28;71.64;8.41;26.4;0.8;23.7;71.43;0.6;1.6;11
2704401;88.33;100;73.21;6.08;16.9;3.7;67.6;36.15;0.5;1.6;7
2704500;100;100;74.57;6.44;2.8;3.1;18.9;28.22;0.3;0;6
2704609;68.25;59.35;58;4.65;0;3.9;0;43.02;0;0;13
2704708;94.18;94.49;72.94;7.4;3;3.3;0;58.83;0;0.2;9
2704807;73.18;100;68.94;9;0;3.7;47.4;54.03;0.7;0;9
2704906;100;100;77.37;9.8;0;5.5;0;64.71;2.7;0;11
2705002;27.26;71.12;71.97;6.51;14.6;2.4;24.1;33.73;0;0.8;10
2705101;81.2;100;71.31;3.05;9.7;4.2;23.5;52.82;0;0.8;8
2705200;100;100;90.56;9;0;3.8;32.2;56.91;0.6;0;6
2705309;100;100;65.2;15.05;0;3.8;0;47.31;0;0;4
