 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
251000 Nazarezinho;3617;3702;7319
251010 Nova Floresta;5218;5428;10646
251020 Nova Olinda;3026;2976;6002
251030 Nova Palmeira;2343;2438;4781
251040 Olho d'Água;3205;3442;6647
251050 Olivedos;1988;1890;3878
251060 Ouro Velho;1533;1490;3023
251065 Parari;925;867;1792
251070 Passagem;1175;1209;2384
251080 Patos;50759;55554;106313
251090 Paulista;6006;6209;12215
251100 Pedra Branca;1884;1915;3799
251110 Pedra Lavrada;3963;4019;7982
251120 Pedras de Fogo;13994;14293;28287
251272 Pedro Régis;2980;3056;6036
251130 Piancó;7725;8256;15981
251140 Picuí;9171;9499;18670
251150 Pilar;5803;5985;11788
251160 Pilões;3379;3351;6730
251170 Pilõezinhos;2508;2609;5117
251180 Pirpirituba;5323;5230;10553
251190 Pitimbu;9424;9260;18684
251200 Pocinhos;9163;9107;18270
251203 Poço Dantas;1937;1841;3778
251207 Poço de José de Moura;2059;2189;4248
251210 Pombal;15751;16963;32714
251220 Prata;2036;2069;4105
251230 Princesa Isabel;11464;11533;22997
251240 Puxinanã;6643;6913;13556
251250 Queimadas;21189;22477;43666
251260 Quixabá;1027;871;1898
251270 Remígio;9159;9986;19145
251274 Riachão;1717;1813;3530
251275 Riachão do Bacamarte;2189;2290;4479
251276 Riachão do Poço;2246;2197;4443
251278 Riacho de Santo Antônio;944;977;1921
251280 Riacho dos Cavalos;4400;4167;8567
251290 Rio Tinto;11832;12191;24023
251300 Salgadinho;1983;1885;3868
251310 Salgado de São Félix;5887;6255;12142
251315 Santa Cecília;3391;3192;6583
251320 Santa Cruz;3373;3207;6580
251330 Santa Helena;2953;2963;5916
251335 Santa Inês;1824;1771;3595
251340 Santa Luzia;7387;7886;15273
251370 Santa Rita;65082;69855;134937
251380 Santa Teresinha;2229;2361;4590
251350 Santana de Mangueira;2620;2599;5219
251360 Santana dos Garrotes;3461;3652;7113
251385 Santo André;1291;1248;2539
251392 São Bentinho;2185;2266;4451
251390 São Bento;16612;16851;33463
251396 São Domingos;1507;1558;3065
251394 São Domingos do Cariri;1280;1282;2562
251398 São Francisco;1651;1721;3372
251400 São João do Cariri;2054;2268;4322
250070 São João do Rio do Peixe;8806;9122;17928
251410 São João do Tigre;2273;2158;4431
251420 São José da Lagoa Tapada;3787;3888;7675
251430 São José de Caiana;3151;3082;6233
251440 São José de Espinharas;2451;2235;4686
251450 São José de Piranhas;9907;10046;19953
251455 São José de Princesa;2014;1943;3957
251460 São José do Bonfim;1756;1738;3494
251465 São José do Brejo do Cruz;888;892;1780
251470 São José do Sabugi;2130;1995;4125
251480 São José dos Cordeiros;1818;1910;3728
251445 São José dos Ramos;2962;2906;5868
251490 São Mamede;3834;3924;7758
251500 São Miguel de Taipu;3504;3574;7078
251510 São Sebastião de Lagoa de Roça;5743;5933;11676
251520 São Sebastião do Umbuzeiro;1695;1745;3440
251540 São Vicente do Seridó;5581;5318;10899
251530 Sapé;25611;26608;52219
251550 Serra Branca;6599;6963;13562
251560 Serra da Raiz;1587;1566;3153
251570 Serra Grande;1558;1516;3074
251580 Serra Redonda;3408;3648;7056
251590 Serraria;3079;3075;6154
251593 Sertãozinho;2341;2551;4892
251597 Sobrado;3830;3882;7712
251600 Solânea;12813;13920;26733
251610 Soledade;7318;7398;14716
251615 Sossêgo;1718;1759;3477
251620 Sousa;33445;35374;68819
251630 Sumé;8312;8473;16785
251640 Tacima;5509;5313;10822
251650 Taperoá;7640;7736;15376
251660 Tavares;7310;7255;14565
251670 Teixeira;7355;7620;14975
251675 Tenório;1567;1444;3011
251680 Triunfo;4679;4772;9451
251690 Uiraúna;7364;7860;15224
251700 Umbuzeiro;4865;5026;9891
251710 Várzea;1404;1343;2747
251720 Vieirópolis;2649;2646;5295
250550 Vista Serrana;1953;1788;3741
251740 Zabelê;1120;1091;2211
260005 Abreu e Lima;47139;51470;98609
260010 Afogados da Ingazeira;17719;18996;36715
260020 Afrânio;9520;9514;19034
260030 Agrestina;11783;12474;24257
260040 Água Preta;17886;17812;35698
260050 Águas Belas;21044;21526;42570
260060 Alagoinha;7249;7094;14343
260070 Aliança;19014;19246;38260
260080 Altinho;11356;11524;22880
260090 Amaraji;11345;11296;22641
260100 Angelim;5401;5483;10884
260105 Araçoiaba;9843;9978;19821
260110 Araripina;40677;42123;82800
260120 Arcoverde;34496;38138;72634
260130 Barra de Guabiraba;7222;6738;13960
260140 Barreiros;20603;21618;42221
260150 Belém de Maria;5924;5966;11890
260160 Belém do São Francisco;10254;10422;20676
260170 Belo Jardim;36447;39019;75466
260180 Betânia;6374;6164;12538
260190 Bezerros;29093;31291;60384
260200 Bodocó;18770;18546;37316
260210 Bom Conselho;23290;24474;47764
260220 Bom Jardim;19143;19782;38925
260230 Bonito;18929;19165;38094
260240 Brejão;4410;4573;8983
260250 Brejinho;3761;3704;7465
260260 Brejo da Madre de Deus;24113;24980;49093
260270 Buenos Aires;6485;6527;13012
260280 Buíque;28020;28504;56524
260290 Cabo de Santo Agostinho;99450;101104;200554
260300 Cabrobó;16397;16852;33249
260310 Cachoeirinha;9784;10170;19954
260320 Caetés;14238;13910;28148
260330 Calçado;5647;5491;11138
260340 Calumbi;2797;2951;5748
260345 Camaragibe;74013;80044;154057
260350 Camocim de São Félix;8973;9321;18294
260360 Camutanga;4305;4146;8451
260370 Canhotinho;12719;12119;24838
260380 Capoeiras;10011;9990;20001
260390 Carnaíba;9629;9684;19313
260392 Carnaubeira da Penha;6491;6111;12602
260400 Carpina;38611;42444;81055
260410 Caruaru;166390;180715;347105
260415 Casinhas;7102;7117;14219
260420 Catende;20211;21158;41369
260430 Cedro;5788;5728;11516
260440 Chã de Alegria;6553;6651;13204
260450 Chã Grande;10598;10683;21281
260460 Condado;12629;13195;25824
260470 Correntes;9000;8967;17967
260480 Cortês;6416;6185;12601
260490 Cumaru;6483;6652;13135
260500 Cupira;11371;12468;23839
260510 Custódia;18034;18153;36187
260515 Dormentes;9358;8964;18322
260520 Escada;33321;34061;67382
260530 Exu;15713;16219;31932
260540 Feira Nova;10621;11088;21709
260545 Fernando de Noronha;1418;1510;2928
260550 Ferreiros;5919;6039;11958
260560 Flores;11211;11379;22590
260570 Floresta;15980;15831;31811
260580 Frei Miguelinho;7476;7662;15138
260590 Gameleira;15337;14797;30134
260600 Garanhuns;65049;71907;136956
260610 Glória do Goitá;14844;15378;30222
260620 Goiana;37981;40642;78623
260630 Granito;3706;3604;7310
260640 Gravatá;39882;42016;81898
260650 Iati;9591;9422;19013
260660 Ibimirim;14231;14374;28605
260670 Ibirajuba;3926;3797;7723
260680 Igarassu;54643;57830;112473
260690 Iguaracy;6118;6016;12134
260760 Ilha de Itamaracá;14644;10244;24888
260700 Inajá;11120;10814;21934
260710 Ingazeira;2348;2206;4554
260720 Ipojuca;45640;45706;91346
260730 Ipubi;14719;15003;29722
260740 Itacuruba;2349;2404;4753
260750 Itaíba;13159;13256;26415
260765 Itambé;18093;18183;36276
260770 Itapetim;6894;6889;13783
260775 Itapissuma;13378;12422;25800
260780 Itaquitinga;8427;8327;16754
260790 Jaboatão dos Guararapes;325874;360281;686155
260795 Jaqueira;5781;5881;11662
260800 Jataúba;8493;8366;16859
260805 Jatobá;7208;7378;14586
260810 João Alfredo;16007;16936;32943
260820 Joaquim Nabuco;8076;7944;16020
260825 Jucati;5613;5587;11200
260830 Jupi;7125;7397;14522
260840 Jurema;7506;7666;15172
260850 Lagoa de Itaenga;10320;10959;21279
260845 Lagoa do Carro;8524;8930;17454
260860 Lagoa do Ouro;6346;6518;12864
260870 Lagoa dos Gatos;8228;7932;16160
260875 Lagoa Grande;12284;12471;24755
260880 Lajedo;18811;20431;39242
260890 Limoeiro;27729;28547;56276
260900 Macaparana;12403;12612;25015
260910 Machados;7395;7920;15315
260915 Manari;10508;9795;20303
260920 Maraial;5955;5757;11712
260930 Mirandiba;7588;7508;15096
261430 Moreilândia;5654;5588;11242
260940 Moreno;29863;31159;61022
260950 Nazaré da Mata;15339;16731;32070
260960 Olinda;181308;208202;389510
260970 Orobó;11541;12122;23663
260980 Orocó;7235;7212;14447
260990 Ouricuri;33294;34387;67681
261000 Palmares;30405;31896;62301
261010 Palmeirina;3917;4053;7970
261020 Panelas;13001;13465;26466
261030 Paranatama;5816;5539;11355
261040 Parnamirim;10939;10262;21201
261050 Passira;14284;14702;28986
261060 Paudalho;27117;27915;55032
261070 Paulista;152814;169929;322743
261080 Pedra;11211;11194;22405
261090 Pesqueira;32440;33719;66159
261100 Petrolândia;17497;17844;35341
261110 Petrolina;162928;169040;331968
261120 Poção;5357;5906;11263
261130 Pombos;13423;13418;26841
261140 Primavera;7503;7010;14513
261150 Quipapá;12640;12899;25539
261153 Quixaba;3384;3444;6828
261160 Recife;751625;865635;1617260
261170 Riacho das Almas;9985;10197;20182
261180 Ribeirão;22976;23688;46664
261190 Rio Formoso;11764;11418;23182
261200 Sairé;5188;5248;10436
261210 Salgadinho;5284;5138;10422
261220 Salgueiro;29549;30222;59771
261230 Saloá;7679;8062;15741
261240 Sanharó;12266;12783;25049
261245 Santa Cruz;7428;7434;14862
261247 Santa Cruz da Baixa Verde;6209;6166;12375
261250 Santa Cruz do Capibaribe;49769;51723;101492
261255 Santa Filomena;7149;7018;14167
261260 Santa Maria da Boa Vista;20991;20307;41298
261270 Santa Maria do Cambucá;6984;6844;13828
261280 Santa Terezinha;5717;5909;11626
261290 São Benedito do Sul;7725;7578;15303
261300 São Bento do Una;28987;28674;57661
261310 São Caitano;18148;18615;36763
261320 São João;11034;11373;22407
261330 São Joaquim do Monte;10547;10623;21170
261340 São José da Coroa Grande;9946;10390;20336
261350 São José do Belmonte;16968;16712;33680
261360 São José do Egito;16482;16885;33367
261370 São Lourenço da Mata;53891;56379;110270
261380 São Vicente Ferrer;8810;8954;17764
261390 Serra Talhada;40767;43589;84356
261400 Serrita;9681;9337;19018
261410 Sertânia;17416;17951;35367
261420 Sirinhaém;22629;21559;44188
261440 Solidão;3055;2895;5950
261450 Surubim;30552;32616;63168
261460 Tabira;13779;14175;27954
261470 Tacaimbó;6433;6457;12890
261480 Tacaratu;12687;11938;24625
261485 Tamandaré;11316;11274;22590
261500 Taquaritinga do Norte;13903;13691;27594
261510 Terezinha;3429;3630;7059
261520 Terra Nova;5279;4904;10183
261530 Timbaúba;25935;27649;53584
261540 Toritama;20797;21329;42126
261550 Tracunhaém;6664;6935;13599
261560 Trindade;14761;14760;29521
261570 Triunfo;7352;7896;15248
261580 Tupanatinga;13307;13146;26453
261590 Tuparetama;3964;4186;8150
261600 Venturosa;8885;8986;17871
261610 Verdejante;4620;4834;9454
261618 Vertente do Lério;3879;3871;7750
261620 Vertentes;9833;10145;19978
261630 Vicência;15890;16271;32161
261640 Vitória de Santo Antão;65585;70226;135811
261650 Xexéu;7265;7321;14586
270010 Água Branca;10302;10129;20431
270020 Anadia;8778;9067;17845
270030 Arapiraca;110587;120438;231025
270040 Atalaia;23660;23635;47295
270050 Barra de Santo Antônio;7808;7937;15745
270060 Barra de São Miguel;4202;4066;8268
270070 Batalha;9115;9380;18495
270080 Belém;2258;2326;4584
270090 Belo Monte;3490;3288;6778
270100 Boca da Mata;13541;13853;27394
270110 Branquinha;5453;5287;10740
270120 Cacimbinhas;5423;5394;10817
270130 Cajueiro;10591;10762;21353
270135 Campestre;3479;3499;6978
270140 Campo Alegre;28062;28361;56423
270150 Campo Grande;4819;4839;9658
270160 Canapi;9177;8796;17973
270170 Capela;8626;8874;17500
270180 Carneiros;4382;4586;8968
270190 Chã Preta;3865;3555;7420
270200 Coité do Nóia;5423;5569;10992
270210 Colônia Leopoldina;10886;10743;21629
270220 Coqueiro Seco;2922;2945;5867
270230 Coruripe;27926;28696;56622
270235 Craíbas;12046;12238;24284
270240 Delmiro Gouveia;25071;26917;51988
270250 Dois Riachos;5651;5570;11221
270255 Estrela de Alagoas;9066;9237;18303
270260 Feira Grande;11056;11371;22427
270270 Feliz Deserto;2328;2415;4743
270280 Flexeiras;6494;6421;12915
270290 Girau do Ponciano;20290;20227;40517
270300 Ibateguara;7975;7826;15801
270310 Igaci;12674;13362;26036
270320 Igreja Nova;12597;11972;24569
270330 Inhapi;9257;9363;18620
270340 Jacaré dos Homens;2669;2760;5429
270350 Jacuípe;3626;3535;7161
270360 Japaratinga;4123;4226;8349
270370 Jaramataia;2917;2775;5692
270375 Jequiá da Praia;5973;5893;11866
270380 Joaquim Gomes;12277;11783;24060
270390 Jundiá;2123;2149;4272
270400 Junqueiro;12425;12659;25084
270410 Lagoa da Canoa;9067;9276;18343
270420 Limoeiro de Anadia;14391;14230;28621
270430 Maceió;476852;536791;1013643
270440 Major Isidoro;9895;10146;20041
270490 Mar Vermelho;1794;1824;3618
270450 Maragogi;16275;15892;32167
270460 Maravilha;4948;4825;9773
270470 Marechal Deodoro;25343;25784;51127
270480 Maribondo;6607;7055;13662
270500 Mata Grande;12919;12666;25585
270510 Matriz de Camaragibe;12300;12704;25004
270520 Messias;8674;8903;17577
270530 Minador do Negrão;2680;2746;5426
270540 Monteirópolis;3552;3691;7243
270550 Murici;14122;14214;28336
270560 Novo Lino;6412;6228;12640
270570 Olho d'Água das Flores;10450;11186;21636
270580 Olho d'Água do Casado;4705;4592;9297
270590 Olho d'Água Grande;2545;2634;5179
270600 Olivença;5906;5775;11681
270610 Ouro Branco;5738;5796;11534
270620 Palestina;2378;2625;5003
270630 Palmeira dos Índios;35288;38579;73867
270640 Pão de Açúcar;12413;12458;24871
270642 Pariconha;5322;5279;10601
270644 Paripueira;6453;6432;12885
270650 Passo de Camaragibe;7896;7524;15420
270660 Paulo Jacinto;3757;3919;7676
270670 Penedo;31216;32854;64070
270680 Piaçabuçu;9176;8835;18011
270690 Pilar;17150;18140;35290
270700 Pindoba;1456;1501;2957
270710 Piranhas;12274;12674;24948
270720 Poço das Trincheiras;7348;7143;14491
270730 Porto Calvo;13477;13809;27286
270740 Porto de Pedras;4118;4033;8151
270750 Porto Real do Colégio;10047;10158;20205
270760 Quebrangulo;5729;5861;11590
270770 Rio Largo;36942;38696;75638
270780 Roteiro;3467;3336;6803
270790 Santa Luzia do Norte;3598;3727;7325
270800 Santana do Ipanema;23545;24268;47813
270810 Santana do Mundaú;5528;5484;11012
270820 São Brás;3488;3547;7035
270830 São José da Laje;11939;12109;24048
270840 São José da Tapera;16034;16234;32268
270850 São Luís do Quitunde;17526;17091;34617
270860 São Miguel dos Campos;29724;30808;60532
270870 São Miguel dos Milagres;3890;3983;7873
270880 São Sebastião;16906;17302;34208
270890 Satuba;6521;6857;13378
270895 Senador Rui Palmeira;6797;7109;13906
270900 Tanque d'Arca;3115;3203;6318
270910 Taquarana;9652;10324;19976
270915 Teotônio Vilela;21604;22562;44166
270920 Traipu;14132;13668;27800
270930 União dos Palmares;32056;33955;66011
270940 Viçosa;12914;13295;26209
280010 Amparo de São Francisco;1200;1174;2374
280020 Aquidabã;10510;10805;21315
280030 Aracaju;297011;335734;632745
280040 Arauá;5418;5154;10572
280050 Areia Branca;9243;8926;18169
280060 Barra dos Coqueiros;14026;14653;28679
280067 Boquim;13182;13568;26750
280070 Brejo Grande;4203;4015;8218
280100 Campo do Brito;8812;9039;17851
280110 Canhoba;2124;1935;4059
280120 Canindé de São Francisco;14041;14238;28279
280130 Capela;16736;16642;33378
280140 Carira;10843;10644;21487
280150 Carmópolis;7819;7802;15621
280160 Cedro de São João;2933;2957;5890
280170 Cristinápolis;9059;8852;17911
280190 Cumbe;1975;2011;3986
280200 Divina Pastora;2476;2413;4889
280210 Estância;33428;34979;68407
280220 Feira Nova;2745;2826;5571
280230 Frei Paulo;7372;7672;15044
280240 Gararu;6027;5697;11724
280250 General Maynard;1564;1666;3230
280260 Gracho Cardoso;3030;2816;5846
280270 Ilha das Flores;4350;4247;8597
280280 Indiaroba;8855;8529;17384
280290 Itabaiana;46133;47440;93573
280300 Itabaianinha;20633;20772;41405
280310 Itabi;2480;2537;5017
280320 Itaporanga d'Ajuda;16748;16572;33320
280330 Japaratuba;9030;9256;18286
280340 Japoatã;6635;6610;13245
280350 Lagarto;50304;51955;102259
280360 Laranjeiras;14224;14903;29127
280370 Macambira;3355;3468;6823
280380 Malhada dos Bois;1903;1749;3652
280390 Malhador;6360;6241;12601
280400 Maruim;8424;8727;17151
280410 Moita Bonita;5685;5714;11399
280420 Monte Alegre de Sergipe;7567;7286;14853
280430 Muribeca;3885;3759;7644
280440 Neópolis;9478;9480;18958
280445 Nossa Senhora Aparecida;4355;4475;8830
280450 Nossa Senhora da Glória;17571;18152;35723
280460 Nossa Senhora das Dores;12981;13256;26237
280470 Nossa Senhora de Lourdes;3318;3176;6494
280480 Nossa Senhora do Socorro;86657;90683;177340
280490 Pacatuba;7269;6895;14164
280500 Pedra Mole;1617;1582;3199
280510 Pedrinhas;4674;4781;9455
280520 Pinhão;3105;3334;6439
280530 Pirambu;4594;4464;9058
280540 Poço Redondo;17448;16308;33756
280550 Poço Verde;11599;11814;23413
280560 Porto da Folha;14592;13905;28497
280570 Propriá;14678;14979;29657
280580 Riachão do Dantas;10159;9817;19976
280590 Riachuelo;4906;5127;10033
280600 Ribeirópolis;9181;9182;18363
280610 Rosário do Catete;5018;5349;10367
280620 Salgado;10102;9980;20082
280630 Santa Luzia do Itanhy;7163;6675;13838
280650 Santa Rosa de Lima;2024;1888;3912
280640 Santana do São Francisco;3836;3771;7607
280660 Santo Amaro das Brotas;5918;6106;12024
280670 São Cristóvão;42784;44195;86979
280680 São Domingos;5423;5548;10971
280690 São Francisco;1908;1943;3851
280700 São Miguel do Aleixo;1933;1969;3902
280710 Simão Dias;19962;20568;40530
280720 Siriri;4289;4386;8675
280730 Telha;1589;1582;3171
280740 Tobias Barreto;25244;26130;51374
280750 Tomar do Geru;6763;6437;13200
280760 Umbaúba;12020;12522;24542
290010 Abaíra;4557;4670;9227
290020 Abaré;9945;9623;19568
290030 Acajutiba;7855;7866;15721
290035 Adustina;8645;8507;17152
290040 Água Fria;8615;8431;17046
290060 Aiquara;2429;2338;4767
290070 Alagoinhas;73894;80602;154496
290080 Alcobaça;11976;11306;23282
290090 Almadina;3079;3068;6147
290100 Amargosa;18469;19339;37808
290110 Amélia Rodrigues;12897;13543;26440
290115 América Dourada;8567;8355;16922
290120 Anagé;10229;9868;20097
290130 Andaraí;7143;6575;13718
290135 Andorinha;7539;7253;14792
290140 Angical;7819;6901;14720
290150 Anguera;5753;5549;11302
290160 Antas;9786;9398;19184
290170 Antônio Cardoso;6086;6140;12226
290180 Antônio Gonçalves;6296;5888;12184
290190 Aporá;9715;9429;19144
290195 Apuarema;3941;3823;7764
290205 Araças;6356;6093;12449
290200 Aracatu;7301;6787;14088
290210 Araci;28575;27797;56372
290220 Aramari;5701;5610;11311
290225 Arataca;6277;5461;11738
290230 Aratuípe;4634;4495;9129
290240 Aurelino Leal;6674;6412;13086
290250 Baianópolis;7390;6807;14197
290260 Baixa Grande;10669;10530;21199
290265 Banzaê;6955;6754;13709
290270 Barra;27839;26347;54186
290280 Barra da Estiva;11409;10979;22388
290290 Barra do Choça;17683;17170;34853
290300 Barra do Mendes;7361;7161;14522
290310 Barra do Rocha;3401;3022;6423
290320 Barreiras;76761;77157;153918
290323 Barro Alto;7866;7507;15373
290330 Barro Preto;3368;3129;6497
290327 Barrocas;8013;7758;15771
290340 Belmonte;12320;11441;23761
290350 Belo Campo;9410;8974;18384
290360 Biritinga;8116;7678;15794
290370 Boa Nova;7430;7143;14573
290380 Boa Vista do Tupim;9546;9114;18660
290390 Bom Jesus da Lapa;35046;34479;69525
290395 Bom Jesus da Serra;5470;5082;10552
290400 Boninal;7160;7428;14588
290405 Bonito;8703;8174;16877
290410 Boquira;11166;11262;22428
290420 Botuporã;5623;5397;11020
290430 Brejões;7663;7551;15214
290440 Brejolândia;5576;5120;10696
290450 Brotas de Macaúbas;5767;5300;11067
290460 Brumado;34449;34806;69255
290470 Buerarema;9742;9545;19287
290475 Buritirama;11310;10240;21550
290480 Caatiba;5380;4781;10161
290485 Cabaceiras do Paraguaçu;9477;9507;18984
290490 Cachoeira;16699;17835;34534
290500 Caculé;11973;11575;23548
290510 Caém;5035;5104;10139
290515 Caetanos;8327;7655;15982
290520 Caetité;26117;26416;52533
290530 Cafarnaum;9567;9127;18694
290540 Cairu;9129;8599;17728
290550 Caldeirão Grande;6707;6933;13640
290560 Camacan;16694;16504;33198
290570 Camaçari;143856;143063;286919
290580 Camamu;18521;17912;36433
290590 Campo Alegre de Lourdes;15250;14688;29938
290600 Campo Formoso;36390;35883;72273
290610 Canápolis;5257;4886;10143
290620 Canarana;13414;12968;26382
290630 Canavieiras;16577;16692;33269
290640 Candeal;4628;4383;9011
290650 Candeias;43191;45613;88804
290660 Candiba;7737;6931;14668
290670 Cândido Sales;13603;13253;26856
290680 Cansanção;18023;17212;35235
290682 Canudos;8835;8338;17173
290685 Capela do Alto Alegre;6175;5942;12117
290687 Capim Grosso;14522;14825;29347
290689 Caraíbas;5173;4841;10014
290690 Caravelas;11583;10965;22548
290700 Cardeal da Silva;4970;4776;9746
290710 Carinhanha;15465;14486;29951
290720 Casa Nova;37075;35098;72173
290730 Castro Alves;13252;14035;27287
290740 Catolândia;1967;1701;3668
290750 Catu;27242;28472;55714
290755 Caturama;5047;4714;9761
290760 Central;9365;8775;18140
290770 Chorrochó;5873;5647;11520
290780 Cícero Dantas;17033;17441;34474
290790 Cipó;8655;8949;17604
290800 Coaraci;9686;10085;19771
290810 Cocos;9984;9414;19398
290820 Conceição da Feira;11147;11513;22660
290830 Conceição do Almeida;9020;9503;18523
290840 Conceição do Coité;33877;34271;68148
290850 Conceição do Jacuípe;16174;17177;33351
290860 Conde;13269;12925;26194
290870 Condeúba;9033;9233;18266
290880 Contendas do Sincorá;2245;2084;4329
290890 Coração de Maria;11092;12053;23145
290900 Cordeiros;4410;4428;8838
290910 Coribe;7493;7482;14975
290920 Coronel João Sá;8950;8149;17099
290930 Correntina;16978;16201;33179
290940 Cotegipe;7532;6866;14398
290950 Cravolândia;2837;2724;5561
290960 Crisópolis;11076;10542;21618
290970 Cristópolis;7533;6771;14304
290980 Cruz das Almas;30566;33626;64192
290990 Curaçá;18071;17138;35209
291000 Dário Meira;6373;5651;12024
291005 Dias d'Ávila;38982;39075;78057
291010 Dom Basílio;6564;5936;12500
291020 Dom Macedo Costa;2029;2126;4155
291030 Elísio Medrado;4189;4245;8434
291040 Encruzilhada;10653;9678;20331
291050 Entre Rios;21311;21695;43006
290050 Érico Cardoso;5803;5635;11438
291060 Esplanada;18505;18219;36724
291070 Euclides da Cunha;30897;29773;60670
291072 Eunápolis;56676;56515;113191
291075 Fátima;9452;9031;18483
291077 Feira da Mata;3081;2832;5913
291080 Feira de Santana;295708;321817;617525
291085 Filadélfia;8895;8687;17582
291090 Firmino Alves;2938;2850;5788
291100 Floresta Azul;5838;5473;11311
291110 Formosa do Rio Preto;13309;12062;25371
291120 Gandu;16571;16236;32807
291125 Gavião;2445;2265;4710
291130 Gentio do Ouro;5936;5487;11423
291140 Glória;8152;7918;16070
291150 Gongogi;4136;3945;8081
291160 Governador Mangabeira;10157;11109;21266
291165 Guajeru;4406;4402;8808
291170 Guanambi;42264;43533;85797
291180 Guaratinga;11671;10688;22359
291185 Heliópolis;7025;6735;13760
291190 Iaçu;12856;13321;26177
291200 Ibiassucê;5372;5132;10504
291210 Ibicaraí;11768;12263;24031
291220 Ibicoara;9939;9611;19550
291230 Ibicuí;8523;8171;16694
291240 Ibipeba;9665;9010;18675
291250 Ibipitanga;7658;7638;15296
291260 Ibiquera;2737;2425;5162
291270 Ibirapitanga;12476;11710;24186
291280 Ibirapuã;4563;4172;8735
291290 Ibirataia;9053;8892;17945
291300 Ibitiara;8347;8351;16698
291310 Ibititá;9559;9163;18722
291320 Ibotirama;14000;13650;27650
291330 Ichu;3086;3221;6307
291340 Igaporã;8229;8000;16229
291345 Igrapiúna;7621;6771;14392
291350 Iguaí;14302;13487;27789
291360 Ilhéus;87363;92847;180210
291370 Inhambupe;20497;20418;40915
291380 Ipecaetá;7729;7793;15522
291390 Ipiaú;23644;23857;47501
291400 Ipirá;30603;31494;62097
291410 Ipupiara;5262;4856;10118
291420 Irajuba;3718;3753;7471
291430 Iramaia;5456;5034;10490
291440 Iraquara;12569;12434;25003
291450 Irará;14534;15418;29952
291460 Irecê;35628;37751;73379
291465 Itabela;15932;15121;31053
291470 Itaberaba;32565;33739;66304
291480 Itabuna;104446;115232;219678
291490 Itacaré;14394;13227;27621
291500 Itaeté;8313;8133;16446
291510 Itagi;6783;6576;13359
291520 Itagibá;8147;7618;15765
291530 Itagimirim;3724;3625;7349
291535 Itaguaçu da Bahia;7791;6878;14669
291540 Itaju do Colônia;3770;3582;7352
291550 Itajuípe;10751;11001;21752
291560 Itamaraju;33680;33571;67251
291570 Itamari;4337;4179;8516
291580 Itambé;12039;11292;23331
291590 Itanagra;4135;3897;8032
291600 Itanhém;10542;10068;20610
291610 Itaparica;11222;11390;22612
291620 Itapé;5311;4915;10226
291630 Itapebi;5458;5422;10880
291640 Itapetinga;37765;38417;76182
291650 Itapicuru;18532;17456;35988
291660 Itapitanga;5511;5289;10800
291670 Itaquara;4245;4280;8525
291680 Itarantim;10295;9796;20091
291685 Itatim;7480;7285;14765
291690 Itiruçu;6617;6691;13308
291700 Itiúba;19726;18764;38490
291710 Itororó;10699;10480;21179
291720 Ituaçu;9829;9576;19405
291730 Ituberá;14711;14395;29106
291733 Iuiú;5881;5448;11329
291735 Jaborandi;4845;4378;9223
291740 Jacaraci;8026;7384;15410
291750 Jacobina;41397;43413;84810
291760 Jaguaquara;27401;28047;55448
291770 Jaguarari;16973;16212;33185
291780 Jaguaripe;9675;8972;18647
291790 Jandaíra;5626;5436;11062
291800 Jequié;78926;82605;161531
291810 Jeremoabo;20834;20268;41102
291820 Jiquiriçá;7624;7414;15038
291830 Jitaúna;6808;6495;13303
291835 João Dourado;12752;12391;25143
291840 Juazeiro;107955;110366;218321
291845 Jucuruçu;5353;4793;10146
291850 Jussara;8262;7579;15841
291855 Jussari;3161;3215;6376
291860 Jussiape;3515;3717;7232
291870 Lafaiete Coutinho;2111;1907;4018
291875 Lagoa Real;8259;7540;15799
291880 Laje;12246;11657;23903
291890 Lajedão;1962;2058;4020
291900 Lajedinho;2051;1922;3973
291905 Lajedo do Tabocal;4514;4322;8836
291910 Lamarão;4705;4738;9443
291915 Lapão;14180;13342;27522
291920 Lauro de Freitas;93844;97589;191433
291930 Lençóis;5895;5549;11444
291940 Licínio de Almeida;6586;6374;12960
291950 Livramento de Nossa Senhora;23389;22647;46036
291955 Luís Eduardo Magalhães;41077;38083;79160
291960 Macajuba;5824;6013;11837
291970 Macarani;9477;9308;18785
291980 Macaúbas;25331;24930;50261
291990 Macururé;4158;4205;8363
291992 Madre de Deus;9863;10482;20345
291995 Maetinga;2685;2488;5173
292000 Maiquinique;5318;4767;10085
292010 Mairi;9968;10130;20098
292020 Malhada;9086;8366;17452
292030 Malhada de Pedras;4573;4318;8891
292040 Manoel Vitorino;7476;7011;14487
292045 Mansidão;7306;6453;13759
292050 Maracás;11785;11964;23749
292060 Maragogipe;23338;22769;46107
292070 Maraú;11279;9899;21178
292080 Marcionílio Souza;5543;5409;10952
292090 Mascote;7807;7071;14878
292100 Mata de São João;22843;22971;45814
292105 Matina;6321;5992;12313
292110 Medeiros Neto;12278;11201;23479
292120 Miguel Calmon;13735;13802;27537
292130 Milagres;5705;5950;11655
292140 Mirangaba;9119;8920;18039
292145 Mirante;5229;4674;9903
292150 Monte Santo;27893;26840;54733
