 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
150040 Alenquer;28088;26361;54449
150050 Almeirim;17337;15907;33244
150060 Altamira;54549;53415;107964
150070 Anajás;14358;13076;27434
150080 Ananindeua;243132;260313;503445
150085 Anapu;13633;11687;25320
150090 Augusto Corrêa;22548;20983;43531
150095 Aurora do Pará;15090;14291;29381
150100 Aveiro;8395;7493;15888
150110 Bagre;14326;13857;28183
150120 Baião;23387;20197;43584
150125 Bannach;1772;1483;3255
150130 Barcarena;58473;56859;115332
150140 Belém;683241;750740;1433981
150145 Belterra;8734;8240;16974
150150 Benevides;29428;28980;58408
150157 Bom Jesus do Tocantins;8628;7533;16161
150160 Bonito;7944;7275;15219
150170 Bragança;61730;59329;121059
150172 Brasil Novo;7905;7021;14926
150175 Brejo Grande do Araguaia;3828;3372;7200
150178 Breu Branco;31290;29693;60983
150180 Breves;50706;47142;97848
150190 Bujaru;14444;13141;27585
150200 Cachoeira do Arari;11600;10761;22361
150195 Cachoeira do Piriá;16002;15176;31178
150210 Cametá;67291;63074;130365
150215 Canaã dos Carajás;16827;16674;33501
150220 Capanema;32960;33137;66097
150230 Capitão Poço;27156;25334;52490
150240 Castanhal;92775;96274;189049
150250 Chaves;12043;10433;22476
150260 Colares;6058;5579;11637
150270 Conceição do Araguaia;23866;22349;46215
150275 Concórdia do Pará;16370;14859;31229
150276 Cumaru do Norte;7257;5119;12376
150277 Curionópolis;9510;8131;17641
150280 Curralinho;17199;14924;32123
150285 Curuá;7126;6381;13507
150290 Curuçá;19342;18312;37654
150293 Dom Eliseu;29633;26543;56176
150295 Eldorado do Carajás;17280;15258;32538
150300 Faro;3796;3508;7304
150304 Floresta do Araguaia;10391;8797;19188
150307 Garrafão do Norte;13270;11962;25232
150309 Goianésia do Pará;19567;18261;37828
150310 Gurupá;16836;14663;31499
150320 Igarapé-Açu;18813;18371;37184
150330 Igarapé-Miri;30806;29303;60109
150340 Inhangapi;5658;5356;11014
150345 Ipixuna do Pará;30733;27601;58334
150350 Irituia;16433;15102;31535
150360 Itaituba;50030;48036;98066
150370 Itupiranga;27513;24056;51569
150375 Jacareacanga;23818;17511;41329
150380 Jacundá;27754;28031;55785
150390 Juruti;28290;25498;53788
150400 Limoeiro do Ajuru;14499;12765;27264
150405 Mãe do Rio;14193;14654;28847
150410 Magalhães Barata;4375;3875;8250
150420 Marabá;133470;127601;261071
150430 Maracanã;14897;13648;28545
150440 Marapanim;14188;13075;27263
150442 Marituba;61692;60747;122439
150445 Medicilândia;16372;13401;29773
150450 Melgaço;14252;12045;26297
150460 Mocajuba;15148;14138;29286
150470 Moju;40653;36430;77083
150475 Mojuí dos Campos;8115;7271;15386
150480 Monte Alegre;28841;27249;56090
150490 Muaná;19908;17921;37829
150495 Nova Esperança do Piriá;11003;9582;20585
150497 Nova Ipixuna;8284;7491;15775
150500 Nova Timboteua;7615;6966;14581
150503 Novo Progresso;12854;12180;25034
150506 Novo Repartimento;37557;33004;70561
150510 Óbidos;26261;24002;50263
150520 Oeiras do Pará;16471;14293;30764
150530 Oriximiná;34880;33882;68762
150540 Ourém;8906;8141;17047
150543 Ourilândia do Norte;16331;14326;30657
150548 Pacajá;24312;20297;44609
150549 Palestina do Pará;3828;3570;7398
150550 Paragominas;53959;52635;106594
150553 Parauapebas;96960;92228;189188
150555 Pau D'Arco;2844;2669;5513
150560 Peixe-Boi;4036;3806;7842
150563 Piçarra;6708;5917;12625
150565 Placas;14912;13511;28423
150570 Ponta de Pedras;15026;14021;29047
150580 Portel;29900;28158;58058
150590 Porto de Moz;20048;18275;38323
150600 Prainha;15530;13558;29088
150610 Primavera;5429;5013;10442
150611 Quatipuru;6848;6145;12993
150613 Redenção;40858;39622;80480
150616 Rio Maria;9264;8407;17671
150618 Rondon do Pará;26074;23708;49782
150619 Rurópolis;24169;22456;46625
150620 Salinópolis;19933;18991;38924
150630 Salvaterra;11371;10910;22281
150635 Santa Bárbara do Pará;10121;9450;19571
150640 Santa Cruz do Arari;4728;4650;9378
150650 Santa Izabel do Pará;35224;31009;66233
150655 Santa Luzia do Pará;9828;9476;19304
150658 Santa Maria das Barreiras;10951;8896;19847
150660 Santa Maria do Pará;11986;11851;23837
150670 Santana do Araguaia;35599;31175;66774
150680 Santarém;144241;147145;291386
150690 Santarém Novo;3355;3054;6409
150700 Santo Antônio do Tauá;14937;14576;29513
150710 São Caetano de Odivelas;9090;8261;17351
150715 São Domingos do Araguaia;12612;11744;24356
150720 São Domingos do Capim;16323;14407;30730
150730 São Félix do Xingu;61157;54579;115736
150740 São Francisco do Pará;7813;7510;15323
150745 São Geraldo do Araguaia;12651;11856;24507
150746 São João da Ponta;2925;2848;5773
150747 São João de Pirabas;11530;10381;21911
150750 São João do Araguaia;7503;5969;13472
150760 São Miguel do Guamá;28409;27317;55726
150770 São Sebastião da Boa Vista;13043;12018;25061
150775 Sapucaia;3049;2520;5569
150780 Senador José Porfírio;6371;5413;11784
150790 Soure;12178;12011;24189
150795 Tailândia;50193;46592;96785
150796 Terra Alta;5664;5416;11080
150797 Terra Santa;9284;8592;17876
150800 Tomé-Açu;31534;28687;60221
150803 Tracuateua;15343;14009;29352
